ledger_id,tag,loss,recycle_count,last_recycled_round,active,retired_reason,first_seen_round,last_seen_round,last_loss,best_recycle_loss
194,reasoning,0.7966270446777344,0,,True,,19,19,0.7966270446777344,
154,classification,0.5510046482086182,1,18,True,,15,18,0.5510046482086182,0.5510046482086182
152,assistant_qa,0.4196816682815552,1,18,True,,15,18,0.4196816682815552,0.4196816682815552
7,assistant_qa,0.7827376127243042,2,4,False,max_recycle_count,0,4,0.7827376127243042,0.7827376127243042
8,science_qa,0.7210687398910522,2,3,False,max_recycle_count,0,3,0.7210687398910522,0.7210687398910522
12,assistant_qa,0.5921517610549927,2,4,False,max_recycle_count,1,4,0.5921517610549927,0.5921517610549927
162,assistant_qa,0.41084930300712585,2,19,False,max_recycle_count,16,19,0.41084930300712585,0.41084930300712585
114,structured_text_task,0.2776998281478882,2,14,False,low_loss_after_recycle,11,14,0.2776998281478882,0.2776998281478882
44,time_reasoning,0.24725332856178284,2,9,False,low_loss_after_recycle,4,9,0.24725332856178284,0.24725332856178284
165,factual_qa,0.22033365070819855,2,19,False,low_loss_after_recycle,16,19,0.22033365070819855,0.22033365070819855
